POLYGON_ID,NAME,NUTS_ID,POPULATION,OUTBREAK-R_BASELINE,OUTBREAK-R_EVENT,OUTBREAK-R_BASELINE_lower,OUTBREAK-R_BASELINE_upper,OUTBREAK-R_EVENT_lower,OUTBREAK-R_EVENT_upper,RELATIVE_RISK,EMERGENCE/IMPORTATION_HOSTPOT,OUTBREAK_HOTSPOT
ITA.5.2_1,Benevento,ITF32,272318,1.4485212702258439,1.470994643631296,1.0470687021001963,1.7989221225513026,1.0370295483719498,1.8188399804863316,0.5476284952231631,False,False
ITA.5.4_1,Napoli,ITF33,3034410,1.4603232352119266,1.5024186364148278,1.0555997940587447,1.813579011848986,1.059183000245781,1.8576947884685744,0.5560113670543723,True,True
ITA.5.1_1,Avellino,ITF34,410369,1.4232679275184312,1.4522435016120498,1.0288142343779383,1.7675599342296557,1.023810269550054,1.7956547656848763,0.5290165002165468,False,False
ITA.5.5_1,Salerno,ITF35,1081380,1.4470374240760404,1.4770812703792515,1.0459960986844739,1.7970793303740584,1.0413205305416462,1.82636590868968,0.5465605960791313,True,False
ITA.2.6_1,Taranto,ITF43,563995,1.4360673419160472,1.4340653947548252,1.0380663361567855,1.7834555584009066,1.0109949720736007,1.7731780913716009,0.5385670899884962,False,False
ITA.2.3_1,Brindisi,ITF44,385235,1.4408360658524868,1.4376423061181023,1.0415134250504288,1.7893778483678766,1.0135166418782362,1.7776008331010502,0.5420633519446829,False,False
ITA.16.3_1,Grosseto,ITI1A,219690,1.5350263154418078,1.4541373423945116,1.1095991787187938,1.9063529506309176,1.0251453993955826,1.7979964420103003,0.6048206975902821,False,False
ITA.18.1_1,Perugia,ITI21,646710,1.3671216430934479,1.3947235897305146,0.9882286949253835,1.6978317257267783,0.9832595792405019,1.724533150213916,0.48406718475252525,False,False
ITA.2.4_1,Foggia,ITF46,606904,1.5097650750717142,1.4860560597189398,1.0913390021432499,1.8749809541825935,1.0476476247808848,1.837462961787828,0.5890969722443535,False,True
ITA.2.1_1,Bari,ITF47,1230205,1.4364701793341605,1.441415794567913,1.0383575286033246,1.7839558431796882,1.016176895632277,1.7822666363982504,0.5388637241721668,True,False
ITA.2.2_1,BAT,ITF48,384801,1.4383350880612222,1.4353266435377434,1.0397055844451801,1.7862718779073847,1.0118841338808153,1.7747375869969884,0.5402338688487551,False,False
ITA.3.2_1,Potenza,ITF51,358401,1.460675472878154,1.462303432764766,1.055854410296413,1.8140164566716452,1.0309023727777047,1.8080935635151192,0.5562585683884452,False,False
ITA.3.1_1,Matera,ITF52,194853,1.4706560414672545,1.4548928934388627,1.0630688994541608,1.826411349311209,1.0256780517486606,1.798930657816397,0.5631922169409365,False,False
ITA.16.6_1,Massa-Carrara,ITI11,191685,1.4190741109903253,1.4308706430081177,1.025782719329322,1.7623516231848653,1.0087427191674512,1.7692278783441113,0.5258334324497109,False,False
ITA.17.2_1,Trento,ITH20,545425,1.3446099195073957,1.453994087400531,0.9719560162414101,1.6698743609243993,1.025044406735716,1.7978193115825423,0.4645323576339926,False,False
ITA.20.6_1,Verona,ITH31,924742,1.384722133246939,1.4209929722248733,1.0009512712245012,1.719689817669001,1.0017791068146369,1.7570144398979344,0.49871700165460364,False,False
ITA.16.5_1,Lucca,ITI12,382543,1.395198314635745,1.412869854046953,1.0085240158401416,1.7327002130615692,0.9960524281949069,1.7469704521973783,0.5071885148373081,False,False
