DATE,Rt_ADJUSTED,Rt_ADJUSTED_lower,R_ADJUSTED_upper,Rt_UNADJUSTED,Rt_UNADJUSTED_lower,R_UNADJUSTED_upper
2023-04-27,1.890285456582668,1.6067426380952676,2.173828275070068,1.2168411840287134,1.095157065625842,1.3385253024315849
2023-04-28,1.816826366468821,1.5443024114984978,2.089350321439144,1.1836905519622132,1.0653214967659919,1.3020596071584345
2023-04-29,1.7475072338149213,1.4853811487426831,2.0096333188871593,1.1546218332792597,1.0391596499513338,1.2700840166071858
2023-04-30,1.67976632515969,1.4278013763857365,1.9317312739336432,1.1310884579090803,1.0179796121181723,1.2441973036999885
2023-05-01,1.6129479571543148,1.3710057635811677,1.854890150727462,1.0978078735338408,0.9880270861804568,1.207588660887225
2023-05-02,1.5504887391942992,1.3179154283151542,1.783062050073444,1.0858780116288005,0.9772902104659205,1.1944658127916807
2023-05-03,1.494576471863227,1.270390001083743,1.718762942642711,1.0744815862662511,0.9670334276396261,1.1819297448928763
2023-05-04,1.4414266010419337,1.2252126108856436,1.6576405911982235,1.0608288747417758,0.9547459872675982,1.1669117622159535
2023-05-05,1.3884136937204978,1.1801516396624232,1.5966757477785725,1.0434420890939797,0.9390978801845817,1.1477862980033777
2023-05-06,1.3414609973477796,1.1402418477456127,1.5426801469499465,1.0242031666399263,0.9217828499759336,1.126623483303919
2023-05-07,1.2974700800633587,1.1028495680538548,1.4920905920728624,1.0028475500235075,0.9025627950211568,1.1031323050258584
2023-05-08,1.2658311511160485,1.0759564784486413,1.4557058237834557,0.9809720869861119,0.8828748782875008,1.0790692956847232
2023-05-09,1.2301230486735533,1.0456045913725203,1.414641505974586,0.9529240761890594,0.8576316685701535,1.0482164838079655
2023-05-10,1.1946109103228562,1.0154192737744276,1.3738025468712844,0.927407161277589,0.8346664451498301,1.020147877405348
2023-05-11,1.160233253509757,0.9861982654832935,1.3342682415362206,0.9062441535421707,0.8156197381879536,0.9968685688963879
2023-05-12,1.1318147735774269,0.9620425575408128,1.3015869896140408,0.8912578997864898,0.8021321098078409,0.9803836897651389
2023-05-13,1.1024329557258825,0.9370680123670001,1.2677978990847647,0.8825832751121504,0.7943249476009354,0.9708416026233655
2023-05-14,1.0803139011285325,0.9182668159592526,1.2423609862978122,0.8792442777670897,0.7913198499903807,0.9671687055437987
2023-05-15,1.0616474536642824,0.90240033561464,1.2208945717139246,0.8805534815019942,0.7924981333517948,0.9686088296521937
2023-05-16,1.0421742007352008,0.8858480706249207,1.198500330845481,0.8752539741817622,0.787728576763586,0.9627793715999385
2023-05-17,1.023839780153201,0.8702638131302209,1.1774157471761812,0.8726141260411618,0.7853527134370457,0.9598755386452781
2023-05-18,1.0084935952619218,0.8572195559726336,1.15976763455121,0.8716410623167331,0.7844769560850599,0.9588051685484065
2023-05-19,0.9924411125497371,0.8435749456672765,1.1413072794321977,0.8713802191624879,0.7842421972462391,0.9585182410787367
2023-05-20,0.9815781413218609,0.8343414201235818,1.12881486252014,0.871600624444723,0.7844405620002507,0.9587606868891954
2023-05-21,0.9713666473188912,0.8256616502210575,1.1170716444167248,0.8724595673126557,0.7852136105813902,0.9597055240439214
2023-05-22,0.9687076756718105,0.8234015243210389,1.114013827022582,0.87163243134842,0.7844691882135779,0.958795674483262
2023-05-23,0.9607467414617985,0.8166347302425288,1.1048587526810683,0.8702323633740013,0.7832091270366012,0.9572555997114015
2023-05-24,0.955733673221105,0.8123736222379393,1.0990937242042707,0.8654094471395836,0.7788685024256252,0.951950391853542
2023-05-25,0.9503461191110629,0.8077942012444035,1.0928980369777224,0.8610375413136172,0.7749337871822555,0.947141295444979
2023-05-26,0.9474249635773208,0.8053112190407227,1.0895387081139187,0.853098570674787,0.7677887136073083,0.9384084277422657
2023-05-27,0.9444705006951025,0.8027999255908371,1.086141075799368,0.8423338922087343,0.7581005029878609,0.9265672814296079
2023-05-28,0.9413995957311779,0.8001896563715012,1.0826095350908544,0.8284056629165703,0.7455650966249132,0.9112462292082274
2023-05-29,0.9282123308783198,0.7889804812465718,1.0674441805100676,0.8123403195025195,0.7311062875522676,0.8935743514527715
2023-05-30,0.9259610020162563,0.7870668517138178,1.0648551523186947,0.7942131170697009,0.7147918053627308,0.8736344287766711
2023-05-31,0.9210909505492981,0.7829273079669034,1.0592545931316928,0.7750791782702625,0.6975712604432363,0.8525870960972889
2023-06-01,0.9186527618923109,0.7808548476084642,1.0564506761761574,0.7875948246178434,0.708835342156059,0.8663543070796278
2023-06-02,0.9141563471493334,0.7770328950769333,1.0512797992217333,0.8054882949159439,0.7249394654243495,0.8860371244075383
2023-06-03,0.9074544568858007,0.7713362883529306,1.0435726254186708,0.8261429791619476,0.7435286812457528,0.9087572770781424
2023-06-04,0.8974945223674837,0.7628703440123612,1.0321187007226063,0.84195719325284,0.757761473927556,0.926152912578124
2023-06-05,0.8922279181059757,0.7583937303900793,1.026062105821872,0.8562855062262759,0.7706569556036483,0.9419140568489035
2023-06-06,0.8797331206081398,0.7477731525169188,1.0116930886993607,0.8673876414026181,0.7806488772623563,0.9541264055428801
2023-06-07,0.8666175313878123,0.7366249016796405,0.996610161095984,0.8794141849946289,0.791472766495166,0.9673556034940919
2023-06-08,0.855926178812319,0.7275372519904711,0.9843151056341668,0.8741432422741656,0.786728918046749,0.9615575665015823
2023-06-09,0.8456314564732802,0.7187867380022881,0.9724761749442722,0.9187715757853366,0.826894418206803,1.0106487333638703
2023-06-10,0.8362527796229212,0.710814862679483,0.9616906965663593,0.9714951154806564,0.8743456039325908,1.068644627028722
